COUNTRY,GENDER,ENJMATH,PARENJMATH,WEALTH,TEACHERCLASSMANAG,COGNITIVEACTIV,TEACHSTUDRELAT,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH
United Arab Emirates,Female,Agree,Disagree,-1.06,-0.1679,0.0114,-0.387,469.2398,491.05,509.7445,459.1136,482.4817
United Arab Emirates,Female,Disagree,Strongly agree,1.0,-0.9781,-1.0353,-2.6658,438.7054,404.4322,410.6637,423.9056,405.99
United Arab Emirates,Female,Disagree,Agree,0.37,0.9208,0.1409,1.8217,380.7525,437.6149,407.2363,397.1101,359.7211
United Arab Emirates,Female,Disagree,Agree,3.09,-2.8224,-3.0674,-2.6658,446.9621,379.9735,411.131,410.3521,416.5836
United Arab Emirates,Female,Disagree,Strongly agree,1.42,-0.3798,0.2717,-0.5138,375.7673,375.7673,395.2407,403.809,364.0832
United Arab Emirates,Female,Agree,Agree,-0.14,0.9208,1.1192,0.2492,424.6845,423.9056,420.0109,378.7272,417.6741
United Arab Emirates,Female,Agree,Strongly agree,0.5,-0.237,0.2055,-0.2217,385.4261,411.91,387.7629,358.1633,413.4678
United Arab Emirates,Female,Disagree,Agree,0.07,0.3431,0.2055,0.0111,381.1419,370.2368,390.4892,374.1315,291.5641
United Arab Emirates,Female,Strongly agree,Strongly agree,1.42,2.1445,0.494,0.6209,398.4343,473.9913,413.2341,423.3603,449.8442
United Arab Emirates,Female,Strongly disagree,Strongly disagree,-0.14,0.3431,0.6314,0.2492,362.4474,366.3421,356.9949,336.7425,359.3317
United Arab Emirates,Female,Strongly disagree,Agree,3.09,0.2299,0.6838,1.0099,406.6911,378.6493,366.9653,367.7442,367.7442
United Arab Emirates,Female,Strongly disagree,Strongly disagree,1.42,0.2299,0.2717,-0.3303,320.3069,310.1807,371.7168,344.454,353.8012
United Arab Emirates,Female,Strongly disagree,Agree,1.0,-0.0262,0.3769,-0.5138,462.0735,497.9047,440.2633,421.5688,454.2842
United Arab Emirates,Female,Agree,Agree,-0.14,-0.3069,0.1409,-0.1673,346.3234,339.31300000000005,368.9126,355.6707,383.7124
